LAM,D,N_0,N_n,esb,p_id
18.93,32.89,18.26,16,"[6.43491, 7.83903, 9.6863, 11.2069]","[5.44524e-15, 0.000180023, 0.111457, 0.235408]"
17.942,34.91,7.929,10,"[3.2389, 3.957, 3.7539, 3.615]","[9.3471e-14, 0.0020065, 0.16442, 0.28356]"
15.286,32.46,8.845,7,"[1.477, 1.6314, 1.5326, 1.5925]","[3.1611e-10, 0.094539, 0.29645, 0.39809]"
3.787,35.5,18.371,19,"[4.8203, 4.3282, 4.7224, 5.2811]","[0.62614, 0.77405, 0.82352, 0.84843]"
5.546,26.3,15.161,7,"[0.88158, 0.9218, 1.0496, 1.1898]","[0.46026, 0.67891, 0.75312, 0.79103]"
16.503,25.39,15.432,14,"[5.6573, 6.8809, 7.1383, 7.1015]","[5.1364e-12, 0.025008, 0.22775, 0.3368]"
9.356,6.17,13.141,7,"[0.96397, 0.72947, 0.74032, 0.78668]","[0.094023, 0.47122, 0.59858, 0.66316]"
2.293,37.6,11.413,17,"[1.9993, 2.0871, 2.3563, 2.6513]","[0.77882, 0.86942, 0.90011, 0.91577]"
4.658,37.17,14.535,18,"[4.7924, 3.9078, 4.0988, 4.4888]","[0.54077, 0.72373, 0.78484, 0.81555]"
19.814,6.0,14.837,8,"[1.4565, 1.8012, 1.855, 1.7353]","[1.0868e-15, 4.6817e-05, 0.089501, 0.22335]"
10.073,25.38,18.568,14,"[5.7431, 4.9492, 4.6426, 4.7611]","[0.020522, 0.39891, 0.53136, 0.5977]"
13.723,30.98,7.988,15,"[5.7703, 6.432, 5.7762, 5.5079]","[4.262e-08, 0.17896, 0.36065, 0.45207]"
18.929,15.02,14.944,12,"[4.15, 5.0691, 5.1794, 4.8495]","[6.2584e-15, 0.00020766, 0.11633, 0.24231]"
17.627,15.29,18.935,7,"[1.472, 1.8127, 1.7276, 1.7486]","[2.78e-13, 0.0047898, 0.18592, 0.30317]"
12.937,17.74,10.891,11,"[3.3501, 2.7887, 2.3769, 2.3321]","[8.5632e-07, 0.23334, 0.40679, 0.494]"
4.969,39.78,13.201,10,"[1.7742, 1.7876, 2.035, 2.322]","[0.51039, 0.70459, 0.77001, 0.80315]"
14.634,8.7,13.282,19,"[6.5226, 8.3045, 8.7396, 8.4083]","[1.8161e-09, 0.12247, 0.31516, 0.41251]"
17.486,10.22,17.428,8,"[1.6163, 1.9791, 1.7609, 1.7138]","[4.8098e-13, 0.0068537, 0.19732, 0.31528]"
11.451,9.41,5.856,17,"[6.1636, 5.9319, 4.9054, 4.5726]","[0.00019175, 0.31678, 0.46974, 0.54692]"
0.258,22.39,18.668,14,"[0.84457, 1.2669, 1.7274, 2.1941]","[0.98259, 0.99106, 0.99377, 0.99511]"
19.044,15.4,13.031,17,"[6.2269, 7.5873, 9.0199, 9.6624]","[4.0889e-15, 0.00013963, 0.10661, 0.23189]"
11.864,23.27,6.751,17,"[6.2165, 6.4624, 5.5023, 5.1566]","[3.9467e-05, 0.29122, 0.44912, 0.52871]"
15.678,11.61,15.095,15,"[5.569, 6.6258, 6.1187, 5.7012]","[6.5282e-11, 0.063292, 0.26839, 0.37314]"
6.461,26.95,6.041,10,"[1.412, 1.1391, 1.1816, 1.273]","[0.37323, 0.63221, 0.71932, 0.76339]"
